iter	Passed	Remaining
896	7210	827
897	7218	819
898	7226	811
899	7234	803
900	7242	795
901	7249	787
902	7257	779
903	7265	771
904	7273	763
905	7281	755
906	7289	747
907	7297	739
908	7305	731
909	7311	723
910	7319	715
911	7327	707
912	7335	698
913	7343	690
914	7352	682
915	7358	674
916	7367	666
917	7375	658
918	7383	650
919	7390	642
920	7398	634
921	7406	626
922	7414	618
923	7424	610
924	7431	602
925	7441	594
926	7449	586
927	7457	578
928	7464	570
929	7472	562
930	7481	554
931	7489	546
932	7497	538
933	7505	530
934	7513	522
935	7521	514
936	7528	506
937	7536	498
938	7544	490
939	7552	482
940	7560	474
941	7568	465
942	7575	457
943	7583	449
944	7591	441
945	7599	433
946	7607	425
947	7615	417
948	7622	409
949	7630	401
950	7638	393
951	7646	385
952	7653	377
953	7662	369
954	7669	361
955	7677	353
956	7685	345
957	7694	337
958	7704	329
959	7714	321
960	7724	313
961	7733	305
962	7743	297
963	7753	289
964	7762	281
965	7773	273
966	7780	265
967	7788	257
968	7796	249
969	7806	241
970	7814	233
971	7822	225
972	7830	217
973	7838	209
974	7846	201
975	7855	193
976	7862	185
977	7870	177
978	7878	169
979	7887	160
980	7895	152
981	7903	144
982	7911	136
983	7919	128
984	7927	120
985	7935	112
986	7943	104
987	7950	96
988	7958	88
989	7966	80
990	7974	72
991	7981	64
992	7989	56
993	7996	48
994	8001	40
995	8009	32
996	8016	24
997	8023	16
998	8032	8
999	8039	0
